Classifier,Field1,Field2,,accuracy, precision, recall, f1, f2
Random Forest, to_messages, exercised_stock_percent, , 0.82625, 0.43796, 0.15000, 0.22346, 0.17271
Random Forest, to_messages, bonus_total_ratio, , 0.77509, 0.22696, 0.09850, 0.13738, 0.11107
Random Forest, from_messages, from_poi_ratio, , 0.82156, 0.02656, 0.01700, 0.02073, 0.01832
Random Forest, from_messages, shared_receipt_poi_ratio, , 0.84367, 0.17230, 0.10700, 0.13202, 0.11578
Random Forest, from_messages, to_poi_ratio, , 0.81811, 0.09219, 0.07200, 0.08085, 0.07530
Random Forest, from_messages, bonus_salary_ratio, , 0.79055, 0.33333, 0.15200, 0.20879, 0.17056
Random Forest, from_messages, exercised_stock_percent, , 0.78958, 0.04663, 0.01350, 0.02094, 0.01574
Random Forest, from_messages, bonus_total_ratio, , 0.79064, 0.20921, 0.05450, 0.08647, 0.06396
Random Forest, from_poi_ratio, shared_receipt_poi_ratio, , 0.85122, 0.28129, 0.21800, 0.24563, 0.22827
Random Forest, from_poi_ratio, to_poi_ratio, , 0.83237, 0.31842, 0.29900, 0.30841, 0.30269
Random Forest, from_poi_ratio, bonus_salary_ratio, , 0.75350, 0.26105, 0.12700, 0.17087, 0.14154
Random Forest, from_poi_ratio, exercised_stock_percent, , 0.82742, 0.46306, 0.22250, 0.30057, 0.24830
Random Forest, from_poi_ratio, bonus_total_ratio, , 0.74340, 0.17093, 0.07350, 0.10280, 0.08296
Random Forest, shared_receipt_poi_ratio, to_poi_ratio, , 0.82733, 0.21619, 0.21100, 0.21356, 0.21202
Random Forest, shared_receipt_poi_ratio, bonus_salary_ratio, , 0.80336, 0.41986, 0.21350, 0.28306, 0.23677
Random Forest, shared_receipt_poi_ratio, exercised_stock_percent, , 0.83017, 0.48218, 0.25700, 0.33529, 0.28348
Random Forest, shared_receipt_poi_ratio, bonus_total_ratio, , 0.77882, 0.28241, 0.14050, 0.18765, 0.15620
Random Forest, to_poi_ratio, bonus_salary_ratio, , 0.79040, 0.45446, 0.23950, 0.31369, 0.26452
